run,scheme,seed_imp,seed_model,seed_eval,ate_hat,cate_sd_test,cate_iqr_test,mi_ate_sd,mi_ate_iqr,mi_B,M_imputations,n_test
36,vary_imp,1503827931,303,404,0.00967304325240682,0.044182718431440365,0.05938032541594512,0.0,0.0,0.0,1,480
37,vary_imp,1336119720,303,404,0.03824792508219863,0.04994677404996507,0.06669128931829098,0.0,0.0,0.0,1,480
38,vary_imp,732347575,303,404,0.03066144775141013,0.054784155236707106,0.07849544768714817,0.0,0.0,0.0,1,480
39,vary_imp,2123775744,303,404,0.014584520379249021,0.05940991909131992,0.08118678471000441,0.0,0.0,0.0,1,480
40,vary_imp,1001222388,303,404,0.024358575665969884,0.0431547725500677,0.05796281624882122,0.0,0.0,0.0,1,480
41,vary_imp,462371909,303,404,0.038409629621233496,0.061912445763671636,0.0852840385094623,0.0,0.0,0.0,1,480
42,vary_imp,1814811279,303,404,0.006369304300218651,0.04495619484398928,0.06053025268214998,0.0,0.0,0.0,1,480
43,vary_imp,344052723,303,404,0.048502237582949595,0.031504899684524294,0.040964877116567835,0.0,0.0,0.0,1,480
44,vary_imp,1841358261,303,404,0.0486475726865101,0.057544193166603454,0.08372534530386473,0.0,0.0,0.0,1,480
45,vary_imp,1315418783,303,404,0.07851828858241604,0.05048578649534691,0.06731290945510846,0.0,0.0,0.0,1,480
46,vary_imp,246345230,303,404,0.06357589079481799,0.06880774575527575,0.09990694433814912,0.0,0.0,0.0,1,480
47,vary_imp,94364744,303,404,0.018101056021367076,0.0619217233706571,0.08940141066852973,0.0,0.0,0.0,1,480
48,vary_imp,955111941,303,404,-0.06624535075899878,0.056747488401452204,0.08177839649837781,0.0,0.0,0.0,1,480
49,vary_imp,76622815,303,404,-0.014634975560081543,0.043433492252721057,0.05915507009547636,0.0,0.0,0.0,1,480
50,vary_imp,303992515,303,404,0.011323400771809338,0.058524467543803776,0.08619503987933831,0.0,0.0,0.0,1,480
51,vary_imp,1105715321,303,404,0.05553009189073784,0.0452169112079221,0.06516295571783412,0.0,0.0,0.0,1,480
52,vary_imp,2083627518,303,404,0.061883379342416146,0.041154215603624165,0.05492918126702335,0.0,0.0,0.0,1,480
53,vary_imp,1001169815,303,404,-0.011502410785868304,0.038824823846156084,0.05265812039856456,0.0,0.0,0.0,1,480
54,vary_imp,1736125123,303,404,0.012704106688145523,0.034867177786691156,0.04893953411922254,0.0,0.0,0.0,1,480
55,vary_imp,1969602794,303,404,0.01021688272892866,0.057171138209679014,0.08058455660968188,0.0,0.0,0.0,1,480
56,vary_imp,1768373431,303,404,0.06473870784475148,0.043093489689733776,0.06236086707235719,0.0,0.0,0.0,1,480
57,vary_imp,1351253091,303,404,-0.015287587544524518,0.04410182857853817,0.061134705543384196,0.0,0.0,0.0,1,480
58,vary_imp,947894554,303,404,0.037048932146518325,0.056239290530823195,0.08227367246559839,0.0,0.0,0.0,1,480
59,vary_imp,1104059238,303,404,0.05590624697243071,0.048854020136390536,0.07077813760148438,0.0,0.0,0.0,1,480
60,vary_imp,571810498,303,404,-0.0111367026767399,0.034030019676445845,0.0487888423451525,0.0,0.0,0.0,1,480
61,vary_imp,1067027577,303,404,0.013345586938369652,0.040275389909008925,0.05322778119017053,0.0,0.0,0.0,1,480
62,vary_imp,814704260,303,404,-0.0283403881565279,0.04072287949236478,0.0576170359595899,0.0,0.0,0.0,1,480
63,vary_imp,531534248,303,404,0.020685939359591222,0.044034203423498376,0.06077626694960355,0.0,0.0,0.0,1,480
64,vary_imp,2132991552,303,404,-0.007327483261083273,0.05868528387437513,0.08199352424175593,0.0,0.0,0.0,1,480
